广东卫视 720,rtmp://59.124.75.156/sat/hk031
广东卫视 408,rtmp://59.124.75.156/sat/hk032
有线18台 408,rtmp://59.124.75.156/sat/hk042
博斯网球 720,rtmp://59.124.75.156/sat/md011
博斯网球 408,rtmp://59.124.75.156/sat/md012
波斯运动1 480,rtmp://59.124.75.156/sat/md021
波斯运动1 408,rtmp://59.124.75.156/sat/md022
博斯魅力 720,rtmp://59.124.75.156/sat/md031
博斯魅力 400,rtmp://59.124.75.156/sat/md032
博斯魅力 480,rtmp://59.124.75.156/sat/md041
博斯魅力 360,rtmp://59.124.75.156/sat/md042
ELEVEN2 480,rtmp://59.124.75.156/sat/md051
ELEVEN2 360,rtmp://59.124.75.156/sat/md051
民视 720,rtmp://59.124.75.156/sat/tv051
民视 404,rtmp://59.124.75.156/sat/tv052
台视 720,rtmp://59.124.75.156/sat/tv071
台视 404,rtmp://59.124.75.156/sat/tv072
中视 720,rtmp://59.124.75.156/sat/tv091
中视 404,rtmp://59.124.75.156/sat/tv092
华视 720,rtmp://59.124.75.156/sat/tv111
华视 404,rtmp://59.124.75.156/sat/tv112
TVBS欢乐台 720,rtmp://59.124.75.156/sat/tv421
TVBS欢乐台 408,rtmp://59.124.75.156/sat/tv422
纬来日本 720,rtmp://59.124.75.156/sat/tv521
纬来日本 404,rtmp://59.124.75.156/sat/tv522
TVBS新闻台 720,rtmp://59.124.75.156/sat/tv551
TVBS新闻台 408,rtmp://59.124.75.156/sat/tv552
东森财经新闻 720,rtmp://59.124.75.156/sat/tv571
东森财经新闻 404,rtmp://59.124.75.156/sat/tv572
纬来育乐 720,rtmp://59.124.75.156/sat/tv701
纬来育乐 404,rtmp://59.124.75.156/sat/tv702
纬来体育 720,rtmp://59.124.75.156/sat/tv721
纬来体育 400,rtmp://59.124.75.156/sat/tv722
HBOHD 720,rtmp://59.124.75.156/sat/tv731
HBOHD 404,rtmp://59.124.75.156/sat/tv732
HBOHD 720,rtmp://59.124.75.156/sat/tv741
HBOHD 404,rtmp://59.124.75.156/sat/tv742
MOMO综合台 720,rtmp://59.124.75.156/sat/tv761
MOMO综合台 404,rtmp://59.124.75.156/sat/tv762
东森超视 720,rtmp://59.124.75.156/sat/tv771
东森超视 400,rtmp://59.124.75.156/sat/tv772
CBS2 720,rtmp://59.124.75.156/sat/us011
CBS2 480,rtmp://59.124.75.156/sat/us012
FS1 480,rtmp://59.124.75.156/sat/us031
FS1 352,rtmp://59.124.75.156/sat/us032
FOX 480,rtmp://59.124.75.156/sat/us091
FOX 360,rtmp://59.124.75.156/sat/us092
ABC 480,rtmp://59.124.75.156/sat/us101
ABC 352,rtmp://59.124.75.156/sat/us102
无信号 720,rtmp://59.124.75.156/sat/us021
无信号 480,rtmp://59.124.75.156/sat/us022
无信号 480,rtmp://59.124.75.156/sat/us041
无信号 352,rtmp://59.124.75.156/sat/us042
无信号 480,rtmp://59.124.75.156/sat/us051
无信号 360,rtmp://59.124.75.156/sat/us052
无信号 480,rtmp://59.124.75.156/sat/us061
无信号 352,rtmp://59.124.75.156/sat/us062
无信号 480,rtmp://59.124.75.156/sat/us071
无信号 352,rtmp://59.124.75.156/sat/us072
无信号 480,rtmp://59.124.75.156/sat/us081
无信号 352,rtmp://59.124.75.156/sat/us082
无信号 720,rtmp://59.124.75.156/sat/us231
无信号 480,rtmp://59.124.75.156/sat/us232
无信号 720,rtmp://59.124.75.156/sat/us241
无信号 480,rtmp://59.124.75.156/sat/us242
无信号 720,rtmp://59.124.75.156/sat/us251
无信号 480,rtmp://59.124.75.156/sat/us252
无信号 720,rtmp://59.124.75.156/sat/us261
无信号 480,rtmp://59.124.75.156/sat/us262
无信号 720,rtmp://59.124.75.156/sat/us271
无信号 480,rtmp://59.124.75.156/sat/us272
无信号 720,rtmp://59.124.75.156/sat/us281
无信号 480,rtmp://59.124.75.156/sat/us282
